product_id,product_name,category,price,stock_quantity
1,CHRISTMAS STAR WISH LIST CHALKBOARD,general,0.39,200
2,STORAGE TIN VINTAGE LEAF,general,1.25,200
3,TREE T-LIGHT HOLDER WILLIE WINKIE,general,0.39,200
4,SET OF 4 KNICK KNACK TINS POPPIES,general,1.65,200
5,BAG 500g SWIRLY MARBLES,general,0.39,200
6,JOY WOODEN BLOCK LETTERS,general,1.25,200
7,PEACE WOODEN BLOCK LETTERS,general,1.95,200
8,T-LIGHT HOLDER HANGING LACE,general,0.39,200
9,T-LIGHT HOLDER WHITE LACE,general,0.29,200
10,TOY TIDY SPACEBOY  ,general,0.79,200
11,GROW YOUR OWN FLOWERS SET OF 3,general,1.95,200
12,TOY TIDY DOLLY GIRL DESIGN,general,0.79,200
13,SET OF 3 CAKE TINS SKETCHBOOK,general,1.95,200
14,SET OF 6 HERB TINS SKETCHBOOK,general,1.25,200
15,SQUARECUSHION COVER PINK UNION JACK,general,1.25,200
16,36 FOIL STAR CAKE CASES ,general,0.79,200
17,TRIPLE WIRE HOOK PINK HEART,general,0.79,200
18,36 FOIL HEART CAKE CASES,general,0.79,200
19,WOOD STOCKING CHRISTMAS SCANDISPOT,general,0.29,200
20,PANTRY MAGNETIC  SHOPPING LIST,general,1.25,200
21,SKETCHBOOK MAGNETIC SHOPPING LIST,general,1.45,200
22,BULL DOG BOTTLE OPENER,general,4.95,200
23,CLASSIC CAFE SUGAR DISPENSER,general,1.25,200
24,SMALL CERAMIC TOP STORAGE JAR ,general,0.69,200
25,MEDIUM CERAMIC TOP STORAGE JAR,general,1.04,200
26,LARGE CERAMIC TOP STORAGE JAR,general,1.45,200
27,TRAVEL CARD WALLET PANTRY,general,0.42,200
28,TRAVEL CARD WALLET SKULLS,general,0.42,200
29,TRAVEL CARD WALLET TRANSPORT,general,0.42,200
30,TRAVEL CARD WALLET KEEP CALM,general,0.42,200
31,TRAVEL CARD WALLET RETROSPOT,general,0.42,200
32,HOT WATER BOTTLE I AM SO POORLY,general,4.95,200
33,ALARM CLOCK BAKELIKE IVORY,general,3.75,200
34,ALARM CLOCK BAKELIKE PINK,general,3.75,200
35,ALARM CLOCK BAKELIKE RED ,general,3.75,200
36,ALARM CLOCK BAKELIKE GREEN,general,3.75,200
37,SET OF 3 CAKE TINS PANTRY DESIGN ,general,4.25,200
38,GROW A FLYTRAP OR SUNFLOWER IN TIN,general,1.06,200
39,FRENCH WC SIGN BLUE METAL,general,1.25,200
40,RECIPE BOX RETROSPOT ,general,2.55,200
41,RECIPE BOX PANTRY YELLOW DESIGN,general,2.55,200
42,CIRCUS PARADE LUNCH BOX ,general,1.95,200
43,PICNIC BOXES SET OF 3 RETROSPOT ,general,4.95,200
44,GUMBALL COAT RACK,general,2.55,200
45,POPCORN HOLDER,general,0.72,200
46,HOT WATER BOTTLE TEA AND SYMPATHY,general,4.25,200
47,CHOCOLATE HOT WATER BOTTLE,general,4.95,200
48,CHOCOLATE THIS WAY METAL SIGN,general,2.1,200
49,GIN AND TONIC MUG,general,1.45,200
50,GLAMOROUS  MUG,general,1.25,200
